id,nome
0,Afghanistan
1,Albania
2,Algeria
3,Andorra
4,Angola
5,Argentina
6,Armenia
7,Australia
8,Austria
9,Azerbaijan
10,Bahrain
11,Bangladesh
12,Belarus
13,Belgium
14,Bolivia
15,Bosnia and Herzegovina
16,Botswana
17,Brazil
18,Bulgaria
19,Cambodia
20,Cameroon
21,Canada
22,Chile
23,China
24,Colombia
25,"Congo, Republic of the..."
26,Costa Rica
27,Croatia
28,Cuba
29,Cyprus
30,Czech Republic
31,Denmark
32,Dominican Republic
33,Ecuador
34,Egypt
35,El Salvador
36,Estonia
37,Ethiopia
38,Fiji
39,Finland
40,France
41,Georgia
42,Germany
43,Ghana
44,Greece
45,Guatemala
46,Honduras
47,Hong Kong (S.A.R.)
48,Hungary
49,Iceland
50,India
51,Indonesia
52,"Iran, Islamic Republic of..."
53,Iraq
54,Ireland
55,Israel
56,Italy
57,Jamaica
58,Japan
59,Jordan
60,Kazakhstan
61,Kenya
62,Kuwait
63,Kyrgyzstan
64,Latvia
65,Lebanon
66,Liechtenstein
67,Lithuania
68,Luxembourg
69,Madagascar
70,Malaysia
71,Maldives
72,Malta
73,Mauritius
74,Mexico
75,Mongolia
76,Montenegro
77,Morocco
78,Mozambique
79,Myanmar
80,Namibia
81,Nepal
82,Netherlands
83,New Zealand
84,Nicaragua
85,Nigeria
86,Norway
87,Oman
88,Other Country (Not Listed Above)
89,Pakistan
90,Panama
91,Paraguay
92,Peru
93,Philippines
94,Poland
95,Portugal
96,Qatar
97,Republic of Korea
98,Republic of Moldova
99,Romania
100,Russian Federation
101,Rwanda
102,Saudi Arabia
103,Senegal
104,Serbia
105,Singapore
106,Slovakia
107,Slovenia
108,Solomon Islands
109,South Africa
110,South Korea
111,Spain
112,Sri Lanka
113,Sudan
114,Swaziland
115,Sweden
116,Switzerland
117,Syrian Arab Republic
118,Taiwan
119,Thailand
120,The former Yugoslav Republic of Macedonia
121,Togo
122,Tunisia
123,Turkey
124,Turkmenistan
125,Uganda
126,Ukraine
127,United Arab Emirates
128,United Kingdom
129,United Republic of Tanzania
130,United States
131,Uruguay
132,Uzbekistan
133,"Venezuela, Bolivarian Republic of..."
134,Viet Nam
135,Yemen
136,Zimbabwe
